BCM4987s001r_VAxg_01	BCM4987s002r_VAxg_01	BCM4987s003r_VAxg_01	BCM4987s004r_VAxg_01	BCM4987s005r_VAxg_01	BCM4987s006r_VAxg_01	BCM4987s007r_VAxg_01	BCM4987s008r_VAxg_01	BCM4987s009r_VAxg_01	BCM4987s010r_VAxg_01	BCM4987s011r_VAxg_01	BCM4987s012r_VAxg_01
IQSEC3	9	8	0	0	1	3	4	0	2	0	3	1
CCDC77	642	581	274	318	381	222	394	255	506	307	388	367
TAF12	303	322	244	226	179	200	225	122	291	215	228	204
ENOX1	26	21	4	12	51	15	40	28	34	27	34	23
TNFSF11	557	859	1437	592	256	570	810	139	431	267	258	346
MTRF1	311	336	221	209	198	215	234	164	322	271	229	185
SOHLH2	6	10	3	8	7	5	14	2	6	6	7	6
DNAJC15	644	648	332	422	459	392	565	406	760	432	612	593
PROSER1	1491	1454	883	938	1114	896	1116	883	1555	1204	1305	897
UFM1	228	187	192	143	125	140	202	86	227	161	112	124
WBP4	459	488	317	334	355	337	399	245	542	362	438	377
ELF1	2225	2523	1548	1408	1350	1164	1702	890	1968	1581	1373	1220
SMAD9	1245	1195	630	461	1362	711	1028	580	734	1619	607	498
HSPH1	3659	4219	4394	2782	5560	6439	4638	3727	8526	4685	6089	5724
KBTBD7	506	606	336	301	374	317	406	238	403	401	338	272
ALG5	949	942	660	680	693	578	907	541	987	827	724	748
EXOSC8	532	542	308	363	373	253	429	271	612	418	439	386
ETF1	3286	3349	2177	2117	2406	2173	2711	1762	3835	2589	2958	2485
TGFBI	8874	10370	6294	5257	4263	3126	6685	3548	6510	3723	4053	3555
FAM53C	422	376	287	235	228	210	294	190	357	261	243	172
SIL1	1680	1967	1220	1046	1149	1423	1697	853	1682	1282	1327	1051
PAIP2	502	635	439	373	426	446	493	288	632	540	413	345
MYOT	103	129	75	72	97	79	121	55	110	82	72	67
KDM3B	6616	6329	4023	3863	3827	3536	4656	2443	5238	4216	3617	2912
EGR1	1393	2430	1782	1293	1132	2047	749	461	1987	1244	1029	647
SERP1	707	750	621	474	645	557	729	355	778	619	564	492
PLS1	1980	1896	1003	1039	1211	790	1602	862	1734	1192	1245	1224
ZFP30	152	181	80	97	92	95	112	69	137	130	136	99
NR2C1	383	421	249	234	291	241	324	203	366	286	311	252
UTP20	1825	1812	957	1189	1344	899	1412	1090	1901	1420	1452	1396
TMPO	1911	1634	705	1217	1227	632	1326	1007	1930	1190	1364	1333
ARL1	246	246	194	165	168	202	232	125	234	192	201	175
GLT8D2	42	63	44	12	116	42	78	45	47	62	35	33
MTERF2	86	94	55	74	58	56	76	40	81	65	68	73
SOCS2	5	2	1	2	4	1	0	4	1	0	2	4
NFYB	368	457	208	294	284	250	370	247	424	320	360	333
WASHC3	201	258	162	171	175	170	217	96	212	182	162	149
APAF1	435	415	204	218	304	224	304	181	391	270	283	257
DUSP4	7844	7260	6277	4145	4915	6222	4899	3732	7953	3886	6528	4166
CLU	2653	2848	2894	1763	1452	2648	2914	1420	2564	1102	2218	1394
TNFRSF10B	2502	2490	1850	1714	1873	1726	2294	1549	3159	1351	2048	1768
SORBS3	1864	2065	938	1030	971	865	1137	708	1023	985	863	611
PTK2B	4916	4636	2969	2962	3240	3167	3260	1884	4635	4474	3257	2296
CHRNA2	7	12	3	1	7	4	9	1	10	12	4	6
ADRA1A	0	0	2	0	0	1	0	0	0	0	0	0
PPP3CC	406	458	299	252	245	270	304	199	391	285	336	269
PDLIM2	57	49	19	29	23	40	20	15	18	41	41	19
EPHX2	623	606	376	432	316	369	467	223	388	441	328	193
RNF170	502	514	314	354	344	371	396	251	476	390	387	324
NPPB	1	0	0	0	0	0	0	0	0	0	0	0
UBIAD1	606	579	426	368	406	331	467	328	581	439	448	376
TARDBP	2614	2556	1478	1650	1933	1502	1957	1396	2776	2184	2171	1878
TNFRSF8	2	0	1	0	0	0	0	1	2	0	0	1
PRAMEF2	0	1	0	0	0	0	0	0	0	0	0	0
ZNF706	719	694	537	448	561	469	693	374	766	529	544	499
LYPLA1	1657	1877	1100	1110	1246	1048	1405	842	1691	1395	1398	1239
CRISPLD1	1401	1256	863	791	982	2125	1480	1003	1120	1292	1351	706
COPS5	1700	1851	1192	1392	1367	1237	1623	963	1974	1683	1462	1455
RDH10	1116	1395	1400	1031	2247	2031	1373	1062	2237	3305	2043	1229
EPX	12	7	3	3	5	2	3	2	3	0	1	6
AKAP1	4115	4115	2254	2259	2672	1945	2910	1918	3689	2587	2668	2212
COIL	518	557	300	363	345	285	405	248	571	401	387	353
TRIM25	2458	2325	1697	1573	2038	1437	1963	1550	3933	1908	2257	2157
SCPEP1	915	950	692	590	602	864	834	466	903	773	713	496
SPOP	979	1003	579	609	648	614	731	432	965	685	651	533
TBX2	25	24	5	11	2	0	2	3	29	2	3	5
SLC35B1	1505	1490	772	881	1055	900	1204	944	1713	1059	1354	1089
TBX4	343	520	151	278	73	60	148	77	247	78	127	65
TEX14	40	42	20	15	15	18	26	14	23	19	17	19
FAM117A	299	292	193	175	138	137	226	93	212	152	105	107
NCAPH	2032	1731	578	1050	1125	490	1302	1077	1800	1048	1324	1019
LRAT	65	88	100	44	50	57	63	24	82	36	40	41
KIAA0922	726	702	261	416	439	400	438	289	508	684	475	317
MND1	123	113	39	89	98	37	103	68	147	73	105	110
TRIM6	93	64	32	49	49	37	40	25	77	36	68	45
ABCC11	19	29	21	11	16	7	27	10	23	15	8	9
PAPD5	686	749	469	463	446	407	541	365	778	610	550	548
ADCY7	1801	1747	1500	996	1218	1247	1316	829	1679	893	1353	904
CEP89	688	636	410	416	459	377	493	296	593	441	418	361
TSHZ3	143	163	128	68	286	245	221	207	399	257	344	194
ECHDC2	187	198	132	96	117	110	114	62	145	93	79	82
TAS2R8	0	0	0	0	0	0	0	0	0	0	0	0
PLBD1	3023	3226	1782	2266	1667	1858	2520	1370	2948	2612	1941	1801
TAS2R10	1	1	1	0	3	0	1	0	5	0	1	0
PRB2	4	3	1	2	0	0	0	1	5	8	2	0
PYROXD1	442	515	315	310	292	268	339	219	406	287	358	278
IAPP	21	26	11	16	2	11	14	12	12	13	14	14
KCNJ8	170	182	61	92	46	36	48	42	93	78	46	43
TAS2R7	0	0	0	0	0	0	0	0	0	0	0	0
BCL2L14	44	46	17	20	19	27	38	21	42	31	22	35
TAS2R9	0	0	0	0	0	0	0	0	0	0	0	0
PSPC1	2027	1843	967	1233	1281	867	1253	999	2177	1428	1563	1406
ZNF549	172	188	117	114	136	111	133	83	136	104	116	88
A1BG	50	52	43	31	37	56	46	12	41	26	27	17
ZSCAN18	311	306	219	166	195	189	195	141	249	179	162	176
ZNF211	115	119	102	70	97	116	85	70	117	91	73	67
PDZRN3	272	263	156	130	194	98	253	101	175	172	135	111
RGSL1	0	0	0	0	0	0	0	0	2	0	0	0
LHX4	38	56	29	26	26	23	26	19	53	44	49	31
RNF2	487	461	355	330	290	293	332	197	420	362	323	252
TRMT1L	470	527	261	284	320	290	388	253	491	397	402	323
SEC22A	152	176	86	115	126	117	126	107	195	118	152	142
CSTA	2	2	5	0	6	9	11	7	37	30	38	15
DPPA4	0	0	0	0	0	0	0	0	0	0	0	0
POPDC2	3	1	1	2	2	3	4	6	1	1	3	3
B4GALT4	621	730	594	456	353	428	523	339	634	386	475	451
NAA50	655	598	338	422	464	380	501	373	688	557	569	515
CD80	0	1	0	1	2	0	0	2	1	0	0	0
KIF18A	1099	1126	422	755	833	382	912	612	1288	570	1017	876
GJA8	0	0	0	1	0	1	0	0	0	0	0	0
DESI2	335	398	243	242	282	261	294	181	383	258	316	276
MAPK8IP1	580	544	313	286	496	302	419	256	399	404	334	212
CRY2	617	715	460	380	426	359	466	304	586	484	365	353
PEX16	846	848	591	477	548	487	570	392	621	510	643	511
DEPDC7	165	214	66	115	61	42	105	56	122	97	82	99
CAT	1210	1438	811	838	820	935	962	563	1402	1284	923	804
PILRB	1434	1332	846	901	1006	843	977	694	1319	940	945	700
ZMYM2	6205	6557	4438	3940	3976	4446	4787	2618	6065	4644	4354	3832
GJB6	561	674	678	353	468	1013	577	261	853	850	686	403
GJA3	315	344	331	198	372	656	358	190	522	569	381	296
TBC1D15	1019	1180	794	683	625	645	825	400	883	745	678	563
ADGRB2	155	188	95	75	176	79	163	88	107	119	84	69
HCRTR1	12	16	3	3	5	2	4	6	5	4	4	1
ZCCHC17	353	382	221	214	278	234	328	184	397	292	322	217
FABP3	21	28	16	18	26	16	18	13	34	17	19	11
KHDRBS1	3223	3195	2048	1917	1764	1557	2216	1245	2665	1895	1897	1576
TMEM39B	344	303	209	168	180	192	192	150	257	184	179	148
CCRL2	9	14	13	8	23	7	14	11	13	5	11	12
CCR2	0	0	0	0	1	0	0	0	0	0	0	0
POLR3GL	189	192	98	104	96	109	121	64	120	92	94	103
GHSR	2	1	2	1	1	4	2	2	0	0	0	1
TNFSF10	180	142	75	86	120	88	98	84	177	151	130	139
ZNF639	426	485	288	285	298	280	361	195	455	366	365	291
SLITRK3	0	0	1	0	3	0	1	1	0	0	0	0
PIK3CA	1591	1785	1179	1182	1102	1067	1421	680	1596	1265	1076	1056
PDS5A	10268	10182	6347	7165	7413	6495	8918	5460	12048	8302	8939	7537
TMEM156	20	35	37	20	4	10	25	7	10	6	7	5
LIAS	384	368	263	272	230	266	310	155	384	311	239	220
CPXM2	0	0	0	0	0	1	0	0	2	0	0	0
TMEM54	539	515	291	361	345	283	372	236	518	306	396	317
ZSCAN20	349	432	285	207	266	254	263	141	328	246	225	206
CSMD2	153	145	78	76	50	39	122	56	138	41	70	55
HPCA	8	5	5	3	6	2	5	1	3	1	3	1
LRIF1	123	150	77	105	95	66	105	61	116	101	89	82
TMIGD3	0	0	0	0	0	0	1	1	0	0	0	1
CLCC1	419	395	257	289	304	268	316	202	432	296	347	250
GPSM2	340	280	178	200	237	130	252	166	356	243	258	220
GTDC1	279	311	176	177	200	197	245	137	243	235	222	172
CXCR4	64	76	92	19	122	82	48	31	103	70	53	37
ZRANB3	458	465	219	323	332	227	332	204	449	316	335	264
ACVR2A	620	637	441	472	366	412	420	232	511	454	378	328
POLK	680	684	448	454	506	537	524	298	737	546	465	449
SV2C	0	0	0	0	0	0	0	0	0	0	0	0
FLT3	0	0	2	0	0	0	0	0	0	0	0	0
RPL21	33	44	25	20	24	24	35	19	36	24	25	34
MTIF3	553	575	332	327	368	358	445	235	500	375	418	366
GTF3A	2234	2222	1172	1409	1612	1082	1845	1175	2364	1596	1818	1663
RASL11A	29	21	14	5	12	6	18	8	16	15	16	6
UBL3	238	308	196	181	201	221	240	109	226	230	171	163
FYTTD1	861	920	627	595	655	668	744	513	1030	741	786	634
MTERF4	929	901	570	614	587	477	637	370	758	571	514	503
XPNPEP2	34	42	119	52	91	133	151	10	30	406	59	22
SASH3	7	3	4	4	0	4	3	1	8	3	2	2
OCRL	2332	2355	1496	1321	1557	1368	1838	1154	2315	1712	1870	1514
PAEP	9537	11623	14638	9553	4850	8153	9864	3452	12451	5035	7198	4356
OBP2A	39	40	27	19	19	16	26	17	27	23	16	19
MRPS2	1172	1267	829	726	748	642	970	545	1158	768	781	595
TBX22	0	0	0	0	0	0	0	0	0	0	0	0
FMOD	5	5	2	2	3	5	1	1	2	9	0	1
MYOG	2	0	0	1	0	0	0	0	0	0	0	0
LAX1	2	0	1	0	2	4	5	0	0	1	1	0
PLG	77	84	43	13	117	33	110	38	34	61	29	21
KIAA1191	1294	1343	968	772	754	836	971	511	1087	859	821	508
COPA	20116	20657	13973	12818	11823	12983	16475	7873	16760	13213	11963	8868
CD244	0	0	1	0	0	0	0	0	1	0	0	0
LY9	1	0	0	0	1	0	3	1	0	0	2	0
HS3ST2	1	0	0	0	7	3	1	0	1	2	0	3
RBBP6	1861	1807	834	1208	1317	831	1389	902	1796	1242	1419	1163
ZC3H7A	1331	1482	866	899	1093	789	1069	624	1285	1099	986	802
PRM2	0	0	0	0	0	0	0	0	0	0	0	0
SERAC1	199	225	132	150	178	178	170	136	257	158	231	179
ANXA11	2796	2774	1467	1500	1626	1474	1914	1147	2044	1708	1596	1215
LDB3	16	8	6	3	9	8	2	9	8	16	9	6
OPN4	15	13	9	5	9	37	9	3	4	22	9	1
FAM35A	604	595	370	347	404	307	404	262	560	482	442	439
FAM213A	1120	1046	649	621	908	753	878	479	801	1200	784	595
ZNF205	409	400	229	214	202	193	264	178	327	219	233	192
NAA60	832	883	588	543	638	520	635	528	761	589	613	445
RPL5	154	175	121	80	98	104	136	59	122	121	89	74
ODF2L	162	139	80	79	81	73	80	59	114	91	100	77
PTGFR	1	0	0	1	2	0	0	0	0	0	0	0
SPATA1	2	2	2	5	5	0	3	3	0	2	3	3
TRMT13	155	146	101	106	104	98	89	62	139	115	98	82
LRRC39	11	9	7	3	5	8	6	3	7	7	3	2
RWDD3	15	19	18	11	12	14	14	8	11	10	19	7
ZNF644	665	700	397	451	488	414	553	300	638	495	467	424
CCDC18	157	158	82	100	116	74	114	79	146	117	131	121
RPAP2	111	126	75	87	71	72	99	49	131	102	89	86
PQLC1	282	289	179	169	223	175	226	151	333	217	202	192
BBS9	1321	1533	925	935	962	1068	1214	503	1170	1133	823	677
PMS2	1957	1845	1136	1160	1173	1116	1329	782	1477	1224	1225	1005
ZMIZ2	6304	6321	5822	3830	4924	5436	5014	3465	7003	4482	5366	3370
OCM	5	4	0	3	2	1	3	0	1	0	1	1
SEPT7	4699	4689	2758	3139	3329	2761	3811	2245	4793	3323	3661	3353
EEPD1	1109	947	543	613	636	333	606	488	894	529	688	560
KLHL7	1378	1519	829	922	914	871	1064	591	1301	959	1088	874
HERPUD2	2229	2252	1685	1370	1353	1454	1827	1033	1997	1533	1574	1164
CBX3	1202	1278	786	830	804	695	938	590	1159	808	892	822
HNRNPA2B1	16638	15120	8792	10366	12171	8082	11670	8488	16956	11688	12533	11488
WIPF3	144	154	67	83	63	27	69	49	61	56	61	53
NXPH1	9	8	4	1	4	3	2	4	4	1	2	1
NPY	0	0	0	0	0	0	0	0	0	0	0	0
FAM126A	982	866	444	624	611	391	681	447	988	581	766	605
HOXA7	164	156	59	94	100	78	101	85	114	98	126	68
INHBA	95	148	310	58	69	161	128	28	79	31	51	49
FKBP9	8900	8891	4706	5018	4864	5404	6827	3912	6892	5799	5774	3845
NT5C3A	1234	1458	924	869	947	675	1054	634	1301	956	896	1033
ARL4A	478	585	376	311	330	247	358	205	518	353	336	317
CCZ1	6949	7242	4454	4673	4819	4283	5736	3416	7180	4790	5867	4976
POLM	2022	2081	1541	1226	1111	1169	1344	740	1519	1167	1062	916
RAMP3	0	0	0	0	0	0	0	0	0	0	0	0
MRM2	1307	1394	736	787	831	650	881	668	1319	886	1049	804
TWIST1	0	0	0	0	0	0	0	0	0	0	0	0
SMU1	3488	3653	2275	2274	2201	2020	2683	1648	3342	2619	2414	2055
GLIPR2	23	21	6	3	31	5	41	16	17	18	11	12
SLC25A51	727	757	717	530	650	721	614	314	926	659	634	465
CLTA	3617	3834	2443	2394	2554	2200	3078	1880	3873	2479	2781	2466
RECK	37	38	8	5	31	18	36	17	16	23	15	12
SPINK4	33	25	14	6	249	114	173	174	111	57	134	88
TAF1L	205	172	96	113	115	111	105	100	200	96	177	96
ACO1	5909	6019	4141	4238	3513	3490	5212	2813	6053	3396	3980	3140
PHF24	0	1	0	0	0	0	0	0	0	1	0	0
DNAI1	44	34	35	9	31	15	30	11	13	33	7	9
DCAF10	1252	1333	841	814	903	998	1088	601	1407	956	952	753
CNTFR	0	2	0	0	0	1	0	0	0	0	1	0
KIAA1549	1772	1739	1150	1013	1225	928	1278	884	1590	1022	1178	815
TRIM24	1911	1955	1194	1203	1309	1044	1441	1023	2036	1148	1763	1234
C7orf49	655	658	421	382	467	465	514	341	672	433	573	516
CALD1	1322	1111	479	560	623	375	706	455	761	509	534	461
AKR1D1	2	0	0	0	1	0	0	0	3	0	0	0
NUDT10	1	0	0	0	1	0	0	0	0	1	0	0
SFTPA1	2	3	4	1	12	5	6	1	4	3	5	2
NEUROG3	0	0	0	0	0	0	0	0	0	0	0	0
PLAU	1318	1133	806	646	689	881	682	891	1498	756	1549	956
SRGN	0	0	0	0	2	0	0	0	0	0	0	0
CHST3	42	44	25	32	36	18	16	32	38	16	23	25
BICC1	6	9	4	5	5	2	3	7	4	1	4	0
CISD1	140	128	73	85	118	95	118	74	138	134	164	119
EGR2	305	548	289	498	225	159	253	53	511	208	155	133
ECD	1491	1343	1022	985	938	895	1169	626	1299	997	973	828
P4HA1	3347	3846	3164	2181	1906	3007	3066	991	3258	2791	1631	1654
SLC25A16	199	236	146	141	175	174	173	130	220	191	203	153
ZWINT	1188	1088	337	690	787	339	751	663	1081	715	865	715
VPS26A	469	549	383	325	318	342	375	212	475	354	427	368
RBM19	5467	5580	3639	3384	3809	3025	4126	2482	4835	3734	3414	2630
CIT	7706	6863	2482	4140	4385	2111	5113	3489	5652	3494	4680	3362
IFT81	721	655	421	464	447	383	564	271	498	509	426	391
ACADS	625	573	370	331	355	386	436	232	481	356	401	262
HVCN1	52	58	39	24	34	39	35	14	31	30	30	22
DDX54	5556	5475	3366	3148	3291	2673	3784	2479	4533	3125	3594	2708
MED13L	15302	15119	10273	9474	10321	10168	11442	6535	13630	11027	9968	7266
CDKN2C	51	37	9	17	10	4	23	8	34	17	30	17
RNF11	211	226	163	150	197	175	218	108	269	167	198	128
RASSF8	408	227	410	118	258	436	235	138	348	294	316	171
BHLHE41	54	57	33	10	28	34	27	23	19	45	20	15
SSPN	31	14	7	8	11	13	16	4	6	16	15	11
ITPR2	599	560	227	328	665	450	613	421	645	503	615	466
CCDC91	6537	7169	5215	4882	4773	5000	5501	2844	6297	4552	4841	4234
NECAB1	0	2	0	0	5	0	1	0	1	1	3	0
WWP1	1874	2015	1357	1186	1608	1418	1842	969	1973	1537	1533	1454
ACOT9	771	831	455	554	634	420	679	491	823	686	778	628
PRDX4	5906	6579	3137	4488	4335	3485	5865	3303	6136	4935	4619	4456
DDX39A	2139	2136	1039	1300	1519	918	1658	1169	2287	1376	1613	1421
PKN1	3857	3873	2232	2058	2661	2226	3129	1779	2940	2246	2493	1831
C19orf43	774	844	452	515	637	532	687	415	815	547	639	615
ADGRE5	1676	1673	1448	1006	1167	1177	1441	826	1580	1256	1143	1003
WDR83	299	289	190	174	191	197	210	131	242	159	184	165
GIPC1	1185	1100	521	635	771	624	727	716	1213	709	1078	763
ACTRT1	25	19	15	11	14	14	21	10	16	15	10	14
CCDC70	2	1	1	0	7	0	0	1	0	0	0	0
SPRYD7	204	236	145	140	167	138	197	108	218	158	141	149
EBPL	458	553	274	336	313	224	393	231	460	366	341	334
ATP7B	1392	1524	727	552	1629	763	1615	876	1106	1206	911	729
ZC3H13	5993	5673	3775	3638	4004	3413	4400	2555	5632	3971	4272	3485
NLN	1358	1290	704	841	738	531	884	575	1104	712	907	805
CENPK	592	622	224	432	516	201	464	329	627	410	542	515
OPTN	1547	1956	1504	1010	1649	1904	2286	1032	2391	1454	1529	1519
ITIH5	25	43	18	22	86	110	287	154	242	38	184	128
ATF1	569	607	409	407	336	350	543	245	578	427	418	316
TSFM	644	645	356	401	425	337	485	291	545	501	407	469
NEUROD4	0	0	0	0	0	0	0	0	0	0	0	0
ARHGAP9	5	6	2	2	2	3	5	6	7	4	3	4
NCKAP1L	2	3	0	0	1	0	1	0	3	0	1	0
MMP19	1	1	1	3	3	2	1	0	1	0	3	3
PFDN5	1215	1348	896	779	722	707	994	448	1022	911	655	670
SPATS2	532	477	319	335	347	308	393	230	526	326	354	272
ORMDL2	413	409	265	289	336	279	351	251	440	283	392	330
NR4A1	1012	1288	1262	769	910	1455	803	637	1464	940	875	634
PDE1B	1	1	0	0	0	0	0	0	0	1	3	1
HOXC13	5	4	2	1	4	5	2	3	11	1	3	1
CDK2	420	333	180	233	285	167	313	223	326	264	334	252
LRP1	9553	10443	6249	5219	4037	5959	7308	2426	7384	5359	4129	3093
HOXC11	16	16	7	10	17	14	8	5	16	13	14	7
ATG101	594	665	433	401	419	422	576	301	672	473	509	410
NFE2	16	12	3	4	16	12	4	4	12	11	23	7
HOXC12	1	0	0	0	0	0	0	0	0	0	0	0
IKZF4	281	288	182	155	152	150	200	125	190	178	160	111
SMUG1	741	664	394	459	466	421	555	325	609	492	453	394
TUBA1B	30704	28952	11068	18648	19849	11175	23106	16571	29830	19277	23657	19967
METTL21B	135	142	87	73	77	66	89	48	85	90	65	52
KBTBD4	628	681	359	393	405	340	452	291	568	471	476	343
SARDH	12	12	8	1	13	5	9	8	9	8	6	8
DBH	2	0	0	0	4	1	2	7	2	1	1	2
ATPAF1	361	332	203	252	242	208	269	168	319	269	266	195
STIL	725	678	249	438	494	259	494	436	761	431	627	585
HJURP	1597	1343	514	844	995	430	1108	788	1412	855	1083	872
IL13RA2	0	0	0	0	0	0	0	0	0	0	0	0
COL10A1	218	222	174	132	148	107	155	84	182	124	144	143
AMD1	699	661	326	375	471	260	462	415	755	490	558	543
NDUFAF4	117	116	68	71	81	74	88	47	132	112	99	91
USP45	396	406	263	293	300	241	315	185	360	301	342	276
PLP1	1	1	0	0	0	0	0	0	0	0	0	0
SERPINA7	0	0	0	0	0	0	0	0	0	1	0	0
MORF4L2	4080	4773	3008	2731	2852	2850	3818	1733	4338	2958	2790	2660
H2BFWT	2	5	3	6	1	3	2	1	4	1	1	3
RAB9B	0	6	0	1	0	2	0	1	0	3	0	0
NRK	0	0	0	0	0	0	0	1	0	1	0	0
FAM199X	1176	1197	866	670	753	799	940	551	1123	801	805	629
ESX1	0	0	0	0	0	0	1	0	0	0	0	0
MAGEA9	929	714	690	452	469	472	678	318	652	510	438	363
ATXN3L	0	0	1	0	0	0	0	0	0	0	0	0
RAB9A	828	890	733	594	673	869	867	423	1066	688	771	631
METTL8	205	204	131	143	140	121	153	93	167	143	127	103
TTC21B	957	994	569	710	692	541	725	436	895	653	661	582
NMI	666	626	404	499	518	353	520	309	709	477	560	573
TNFAIP6	0	6	2	1	0	2	2	0	0	0	0	1
ACVR1C	141	117	134	103	72	64	106	42	118	68	70	59
BAZ2B	2972	3299	2017	2061	1978	1907	2429	1248	2574	2086	1881	1455
SLC36A1	352	384	262	239	288	258	319	226	394	287	305	219
LPGAT1	1121	1176	800	648	917	731	1169	604	995	878	794	622
BATF3	4	3	3	0	4	3	0	2	0	2	1	4
G0S2	258	335	200	131	148	193	212	100	250	125	126	194
KCNJ2	715	703	204	438	313	108	414	232	320	349	208	211
RAP2C	1029	1039	819	703	718	721	814	509	1126	795	947	694
EXOSC9	890	910	434	558	628	415	673	457	956	578	772	699
PLA2G12A	599	662	380	386	473	410	437	299	591	494	437	358
B9D2	66	96	34	55	54	40	69	36	84	54	48	39
COQ8B	1064	1043	600	630	561	529	737	420	720	587	553	476
PFKFB2	264	218	188	130	192	201	226	163	281	224	279	175
C4BPA	658	784	259	412	231	108	380	220	560	316	248	265
C4BPB	45	48	21	27	46	13	40	30	51	35	27	35
RAB38	211	218	138	131	125	129	179	110	201	153	158	114
GPR83	14	5	3	1	4	2	1	3	2	6	2	3
AGO2	6030	6269	4629	3547	4518	3677	5034	2992	6872	4294	4255	3276
MXD4	287	315	135	174	159	165	205	113	179	138	158	105
CKS2	220	239	132	182	165	121	223	158	345	189	234	235
DAW1	2	3	1	3	2	1	1	1	1	2	2	0
ACSL3	1910	1942	1158	1127	1757	1604	1567	1101	2462	1936	1940	1586
CHPF	4660	5113	4276	3095	3211	4637	4704	2244	4190	2939	3408	2648
DNPEP	1708	1728	1269	970	1130	977	1295	781	1501	1190	1051	922
INHA	86	93	61	40	38	50	78	17	44	41	50	22
MOGAT1	5	2	0	0	0	0	1	0	2	4	1	0
OBSL1	5847	5978	3445	2792	2679	2566	3670	1597	3726	2868	2492	1973
FAM124B	1	0	1	0	1	0	0	0	0	1	0	1
SLC12A4	1758	1553	1085	1091	899	834	1043	631	1513	826	968	773
ENKD1	754	762	436	464	430	398	541	255	535	488	360	393
MC3R	0	0	0	0	0	0	0	0	1	0	0	0
GCNT7	73	92	79	52	80	58	55	46	66	63	81	49
CTCFL	0	0	0	1	0	0	0	0	0	0	0	0
FAM210B	412	398	222	224	314	283	310	196	335	264	298	197
PI3	24	19	8	10	451	494	126	719	1420	315	3307	1365
FAM209A	1	2	3	0	2	1	3	1	3	2	1	1
SNX21	898	842	675	558	636	779	654	375	761	588	588	412
SLPI	385	267	298	128	1432	2530	771	1566	2202	1671	3372	1557
WFDC3	314	370	480	151	188	352	266	108	362	409	175	209
TTPAL	490	466	278	269	374	328	309	247	507	357	449	355
PREX1	1802	1585	1020	808	912	1075	1149	722	1181	1356	1072	614
KCNS1	8	11	10	3	5	2	10	5	13	5	5	11
SLC12A5	21	20	4	5	14	7	10	3	10	10	11	11
SDC4	7208	8505	9568	5600	8160	12240	9573	5112	12193	7397	9656	6741
NCOA3	7919	7597	5947	5341	6281	8127	6947	4072	9549	6555	7007	5244
PIGT	12349	13820	8708	7685	8218	8304	11395	5816	10517	8282	8145	6112
SEMG2	0	0	0	0	2	0	0	0	1	1	0	0
MATN4	3	3	7	3	2	0	0	1	2	2	4	2
NCOA5	2225	2196	1012	1400	1542	1003	1536	1182	2335	1549	1661	1309
VAPB	1424	1500	879	965	1133	861	1237	834	1600	1253	1293	1037
PARD6B	1343	1413	1214	979	999	1168	1052	617	1481	1141	1054	935
ATP5E	3030	3097	1759	1867	2319	1999	2644	1585	2975	2257	2622	2335
CHD6	5094	5144	2990	2776	3132	2721	3743	2041	3773	3310	2799	2249
PLCG1	2915	2795	1780	1640	1582	1397	1583	1257	2496	1540	1966	1367
TOX2	33	19	10	4	8	1	8	4	11	8	4	2
SRSF6	4607	4679	3395	3265	3247	2540	3174	2009	4870	3193	3318	2794
GDAP1L1	33	21	8	12	16	14	9	8	12	11	10	7
GTSF1L	0	0	0	0	0	0	1	0	0	0	0	0
ARFGEF2	17434	16934	11602	10299	13160	12811	15147	8853	17637	13424	13710	10883
ZNFX1	6403	6435	4313	3936	6078	4958	4970	4806	11198	5518	8502	7363
ZNF831	0	0	0	0	1	0	0	0	0	0	0	0
EDN3	0	0	0	0	0	0	0	0	0	0	0	0
CSE1L	11661	11111	5934	8265	9169	6207	9661	7039	14171	9729	11148	10068
TMEM189-UBE2V1	0	0	0	0	0	0	0	0	0	0	0	0
RAB22A	775	854	557	543	621	654	814	450	910	666	723	617
PTGIS	1	1	2	0	0	1	1	0	0	0	0	0
STAU1	14176	14497	10502	9240	8985	9052	11607	6462	13605	9579	10067	7543
CDH26	212	183	57	50	109	72	171	100	136	102	89	93
SNAI1	51	42	64	15	47	37	32	22	56	28	34	38
MOCS3	963	944	611	615	629	514	740	383	839	604	644	554
STX16	2933	2969	2373	2075	2332	2089	2511	1313	3077	2312	2042	2071
PMEPA1	4217	4190	3669	2569	2691	3316	3193	2333	4160	1905	3039	2382
RNF114	2172	2232	1358	1279	1409	1154	1598	974	1978	1489	1517	1299
ANKRD60	22	15	17	7	2	4	10	2	14	13	3	6
DDX27	11196	11599	7785	6857	6643	6361	7712	4518	9738	7193	6604	5222
RBPJL	3	4	3	1	4	2	0	0	6	3	2	2
SEMG1	0	0	0	0	0	0	0	0	0	0	1	0
C20orf85	10	6	3	4	4	3	6	2	5	0	5	7
BCAS4	400	402	242	210	255	266	315	167	323	314	224	219
KCNK15	3	2	0	3	5	2	8	4	2	15	1	3
TP53TG5	41	45	46	25	27	33	32	30	34	24	29	26
PCK1	1298	1732	1810	1239	228	347	195	49	687	965	121	121
ZBP1	91	103	73	73	180	84	94	223	798	103	422	541
NEURL2	88	90	77	58	53	57	68	35	76	78	93	34
MAGEA10	1363	1330	972	773	652	708	759	462	949	682	709	557
MTRR	1070	1144	709	713	843	725	909	618	1432	917	1107	971
